Inventory Number,Title,Art Type,Full Year,Media,Image,Framed,Current Owner,Contact Id,Artist Id,Location,Bin,Confirmed Middleton Hills,
A-010151,AMORTIE,FINE ART,,SERIGRAPH,I:\Image\spahn amortie.jpg,true,3339,3339,297,3339,S,,
A-010154,TENNIS,FINE ART,,SERIGRAPH,i:\image\010154.jpg,true,3339,3339,297,3339,S,,
A-010189,TETE A TETE,FINE ART,1990,ETCHING,i:\image\010189.jpg,true,0,,93,2169,,,
A-010235,PRIMITIVES,FINE ART,,APPLIQUE,i:\image\010235.jpg,true,0,,2184,2518,S,,
A-010251,SUNSET,FINE ART,,LITHOGRAPH,i:\image\010251.jpg,false,0,,268,2518,B6,TRUE,
A-010257,OCTOBER: MISSOURI HEADWATERS,FINE ART,,LITHOGRAPH,i:\image\010257.jpg,true,0,,268,2169,,,
A-010271,UNTITLED,FINE ART,,APPLIQUE,i:\image\010271.jpg,true,0,,2188,2793,MEA LOAN,,
A-010278,UNTITLED,FINE ART,,APPLIQUE,i:\image\010278.jpg,false,0,,2188,2518,TB,,
A-010281,UNTITLED,FINE ART,,APPLIQUE,i:\image\010281.jpg,false,0,,2188,2518,TB,,
A-010282,UNTITLED,FINE ART,,APPLIQUE,i:\image\010282.jpg,false,0,,2188,2518,TB,,
A-010284,UNTITLED,FINE ART,,APPLIQUE,i:\image\010284.jpg,false,0,,2188,2518,TB,,
A-010288,UNTITLED,FINE ART,,APPLIQUE,i:\image\010288.jpg,false,0,,2188,2518,TB,,
A-010292,UNTITLED,FINE ART,,APPLIQUE,i:\image\010292.jpg,false,0,,2188,2518,TB,,
A-010297,UNTITLED,FINE ART,,APPLIQUE,i:\image\010297.jpg,false,0,,2188,2518,TB,,
A-010306,UNTITLED,FINE ART,,APPLIQUE,i:\image\010306.jpg,false,0,,2188,2518,TB,,
A-010308,UNTITLED,FINE ART,,APPLIQUE,i:\image\010308.jpg,false,0,,2188,2518,TB,,
A-010310,UNTITLED,FINE ART,,APPLIQUE,i:\image\010310.jpg,false,0,,2188,2518,TB,,
A-010311,UNTITLED,FINE ART,,APPLIQUE,i:\image\010311.jpg,false,0,,2188,2518,TB,,
A-010313,UNTITLED,FINE ART,,APPLIQUE,I:\Image\010313.jpg,false,0,,2188,2518,TB,,
A-010317,UNTITLED,FINE ART,,APPLIQUE,i:\image\010317.jpg,false,0,,2188,2518,TB,,
A-010318,UNTITLED,FINE ART,,APPLIQUE,i:\image\010318.jpg,false,0,,2188,2518,TB,,
A-010319,UNTITLED,FINE ART,,APPLIQUE,i:\image\010319.jpg,false,0,,2188,2518,TB,,
A-010320,UNTITLED,FINE ART,,APPLIQUE,i:\image\010320.jpg,false,0,,2188,2518,TB,,
A-010321,UNTITLED,FINE ART,,APPLIQUE,i:\image\010321.jpg,false,0,,2188,2518,TB,,
A-010323,UNTITLED,FINE ART,,APPLIQUE,i:\image\010323.jpg,false,0,,2188,2518,TB,,
A-010325,UNTITLED,FINE ART,,APPLIQUE,i:\image\010325.jpg,true,0,,2188,2518,S,,
A-010327,UNTITLED,FINE ART,,APPLIQUE,i:\image\010327.jpg,true,3465,3465,2188,3466,S,,
A-010328,UNTITLED,FINE ART,,APPLIQUE,i:\image\010328.jpg,true,0,,2188,2177,,,
A-010330,UNTITLED,FINE ART,,APPLIQUE,i:\image\010330.jpg,false,0,,2188,2518,TB,,
A-010331,UNTITLED,FINE ART,,APPLIQUE,i:\image\010331.jpg,false,0,,2188,2518,TB,,
A-010333,UNTITLED,FINE ART,,APPLIQUE,i:\image\010333.jpg,false,0,,2188,2518,TB,,
A-010334,UNTITLED,FINE ART,,APPLIQUE,i:\image\010334.jpg,false,0,,2188,2518,TB,,
A-010335,UNTITLED,FINE ART,,APPLIQUE,i:\image\010335.jpg,true,2967,2967,2188,3289,TB,,
A-010336,UNTITLED,FINE ART,,APPLIQUE,i:\image\010336.jpg,false,0,,2188,2518,TB,,
A-010337,UNTITLED,FINE ART,,APPLIQUE,I:\Image\010337.jpg,false,0,,2188,2518,TB,,
A-010338,UNTITLED,FINE ART,,APPLIQUE,i:\image\010338.jpg,false,0,,2188,2518,TB,,
A-010340,UNTITLED,FINE ART,,APPLIQUE,i:\image\010340.jpg,false,0,,2188,2518,TB,,
A-010341,UNTITLED,FINE ART,,APPLIQUE,i:\image\010341.jpg,false,0,,2188,2518,TB,,
A-010343,UNTITLED,FINE ART,,APPLIQUE,i:\image\010343.jpg,false,0,,2188,2518,TB,,
A-010344,UNTITLED,FINE ART,,APPLIQUE,i:\image\010344.jpg,true,3229,3229,2188,3229,,,
A-010349,UNTITLED,FINE ART,,APPLIQUE,I:\Image\010349.jpg,false,0,,2188,2518,TB,,
A-010350,UNTITLED,FINE ART,,APPLIQUE,i:\image\010350.jpg,false,0,,2188,2518,TB,,
A-010351,UNTITLED,FINE ART,,APPLIQUE,i:\image\010351.jpg,false,0,,2188,2518,TB,,
A-010353,UNTITLED,FINE ART,,APPLIQUE,i:\image\010353.jpg,false,0,,2188,2518,TB,,
A-010358,UNTITLED,FINE ART,,APPLIQUE,i:\image\010358.jpg,false,0,,2188,2518,TB,,
A-010359,UNTITLED,FINE ART,,APPLIQUE,i:\image\010359.jpg,false,0,,2188,2518,TB,,
A-010360,UNTITLED,FINE ART,,APPLIQUE,i:\image\010360.jpg,false,0,,2188,2518,TB,,
A-010361,UNTITLED,FINE ART,,APPLIQUE,i:\image\010361.jpg,false,3322,3322,2188,3322,TB,,
A-010362,UNTITLED,FINE ART,,APPLIQUE,I:\Image\010369.jpg,true,3229,3229,2188,3229,TB,,
A-010363,UNTITLED,FINE ART,,APPLIQUE,i:\image\010363.jpg,false,0,,2188,2518,TB,,
A-010364,UNTITLED,FINE ART,,APPLIQUE,i:\image\010364.jpg,false,0,,2188,2518,TB,,
A-010366,UNTITLED,FINE ART,,APPLIQUE,i:\image\010366.jpg,false,0,,2188,2518,TB,,
A-010368,UNTITLED,FINE ART,,APPLIQUE,i:\image\010368.jpg,true,0,,2188,2518,EHI LOAN,,
A-010370,UNTITLED,FINE ART,,APPLIQUE,i:\image\010370.jpg,false,0,,2188,2518,TB,,
A-010375,UNTITLED,FINE ART,,APPLIQUE,i:\image\010375.jpg,true,3339,3339,2188,3339,S,,
A-010376,UNTITLED,FINE ART,,APPLIQUE,i:\image\010376.jpg,false,0,,2188,2518,TB,,
A-010377,UNTITLED,FINE ART,,APPLIQUE,i:\image\010377.jpg,false,0,,2188,2518,TB,,
A-010379,UNTITLED,FINE ART,,APPLIQUE,i:\image\010379.jpg,false,0,,2188,2518,TB,,
A-010381,UNTITLED,FINE ART,,APPLIQUE,i:\image\010381.jpg,false,0,,2188,2518,TB,,
A-010383,UNTITLED,FINE ART,,APPLIQUE,i:\image\010383.jpg,false,0,,2188,2518,TB,,
A-010387,UNTITLED,FINE ART,,APPLIQUE,i:\image\010387.jpg,true,0,,2188,2518,,,
A-010391,UNTITLED,FINE ART,,APPLIQUE,i:\image\010391.jpg,false,0,,2188,2518,TB,,
A-010399,UNTITLED,FINE ART,,APPLIQUE,i:\image\010399.jpg,false,0,,2188,2518,TB,,
A-010404,UNTITLED,FINE ART,,APPLIQUE,i:\image\010404.jpg,false,0,,2188,2518,TB,,
A-010425,PETRO PRODUCTS ON THE WAY OUT,FINE ART,,MONOPRINT,i:\image\010425.jpg,true,0,,2138,2169,,,
A-010454,BLUES,FINE ART,,COLOR AQUATINT,i:\image\010454.jpg,true,0,,259,2169,5A,,
A-010455,FOUR GLASSES,FINE ART,1976,COLOR LITHOGRAPH,i:\image\010455.jpg,true,0,,141,2169,10B,TRUE,
A-010507,DREAM LAKE II,FINE ART,,MONOTYPE,i:\image\010507.jpg,true,0,,287,2169,10B,TRUE,
A-010518,BROWN HORSE,FINE ART,,LITHOGRAPH,i:\image\010518.jpg,true,0,,2156,2169,5A,TRUE,
A-010519,DOG HOUSE,FINE ART,,HAND MADE PAPER,I:\Image\amos dog house.jpg,true,0,,84,2518,S,,
A-010520,HERMES' LYRE,FINE ART,,"COLORED PULP PAINTING, HANDMADE PAPER",I:\Image\010520.jpg,true,0,,84,2169,28A,TRUE,
A-010521,THE SKY IS FALLING,FINE ART,,HANDMADE PAPER,i:\image\010521.jpg,true,0,,84,2169,B1,TRUE,
A-010536,MOTION PICTURE,FINE ART,1990,LITHOGRAPH,i:\image\010536.jpg,true,0,,2171,2169,,,
A-010549,"CIRCLES, SMOKE, AND BRAID",FINE ART,,WOODCUT,i:\image\010549.jpg,true,0,,2023,2169,10B,TRUE,
A-010574,DAY ONE DAY THIRTY,FINE ART,,MONOTYPE,i:\image\010574.jpg,true,0,,2019,2169,,,
A-010575,PACHINKO,FINE ART,,WOODCUT,i:\image\010575.jpg,true,0,,1997,2169,10B,TRUE,
